,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
1206,ti juga pindah ke apk shopping lainnya,ti juga pindah ke apk shopping lainnya,"['ti', 'juga', 'pindah', 'ke', 'apk', 'shopping', 'lainnya']",ti juga pindah ke apk shopping lain,-3,negatif
1207,tutup ue lah ie tukang jait jdi sepi ramekan lagi tanah abang,tutup ue lah ie tukang jait jadi sepi ramekan lagi tanah abang,"['tutup', 'ue', 'lah', 'ie', 'tukang', 'jait', 'jadi', 'sepi', 'ramekan', 'lagi', 'tanah', 'abang']",tutup ue lah ie tukang jait jadi sepi ramekan lagi tanah abang,-9,negatif
1208,kita jauh dari kota beli jauh,kita jauh dari kota beli jauh,"['kita', 'jauh', 'dari', 'kota', 'beli', 'jauh']",kita jauh dari kota beli jauh,-10,negatif
1209,tidak apa apa shopee kan ada,tidak apa apa shopee kan ada,"['tidak', 'apa', 'apa', 'shopee', 'kan', 'ada']",tidak apa apa shopee kan ada,-7,negatif
1210,lah fb dan ig apa kabar malah jadi tempat jualan,lah fb dan ig apa kabar malah jadi tempat jualan,"['lah', 'fb', 'dan', 'ig', 'apa', 'kabar', 'malah', 'jadi', 'tempat', 'jualan']",lah fb dan ig apa kabar malah jadi tempat jual,-2,negatif
1212,secara pribadi merasa sayang ditutup karna bisa belanja murah kwalitas bagus tidak usah jalan jauh kalau tiktok bisa jual murah lah kenapa yang lain jual mahal di tiktok juga banyak umkm lho carikan jalan keluar buat mereka,secara pribadi merasa sayang ditutup karena bisa belanja murah kwalitas bagus tidak usah jalan jauh kalau tiktok bisa jual murah lah kenapa yang lain jual mahal di tiktok juga banyak umkm lho carikan jalan keluar buat mereka,"['secara', 'pribadi', 'merasa', 'sayang', 'ditutup', 'karena', 'bisa', 'belanja', 'murah', 'kwalitas', 'bagus', 'tidak', 'usah', 'jalan', 'jauh', 'kalau', 'tiktok', 'bisa', 'jual', 'murah', 'lah', 'kenapa', 'yang', 'lain', 'jual', 'mahal', 'di', 'tiktok', 'juga', 'banyak', 'umkm', 'lho', 'carikan', 'jalan', 'keluar', 'buat', 'mereka']",cara pribadi rasa sayang tutup karena bisa belanja murah kwalitas bagus tidak usah jalan jauh kalau tiktok bisa jual murah lah kenapa yang lain jual mahal di tiktok juga banyak umkm lho cari jalan keluar buat mereka,-17,negatif
1213,ayo ramaikan lagi pasar tanah abang,ayo ramaikan lagi pasar tanah abang,"['ayo', 'ramaikan', 'lagi', 'pasar', 'tanah', 'abang']",ayo ramai lagi pasar tanah abang,4,positif
1214,lemah,lemah,['lemah'],lemah,5,positif
1215,toko offline jadi ramai lagi saya kemarin lusa jalan belanja baju ke mall dan grosir di bandung,toko offline jadi ramai lagi saya kemarin lusa jalan belanja baju ke mall dan grosir di bandung,"['toko', 'offline', 'jadi', 'ramai', 'lagi', 'saya', 'kemarin', 'lusa', 'jalan', 'belanja', 'baju', 'ke', 'mall', 'dan', 'grosir', 'di', 'bandung']",toko offline jadi ramai lagi saya kemarin lusa jalan belanja baju ke mall dan grosir di bandung,1,positif
1216,tidak jelas,tidak jelas,"['tidak', 'jelas']",tidak jelas,-4,negatif
1217,alhamdulillah ditutup,alhamdulillah ditutup,"['alhamdulillah', 'ditutup']",alhamdulillah tutup,3,positif
1218,pemerintah harus bersaing dengan tiktok bukan malah melarang di tutup,pemerintah harus bersaing dengan tiktok bukan malah melarang di tutup,"['pemerintah', 'harus', 'bersaing', 'dengan', 'tiktok', 'bukan', 'malah', 'melarang', 'di', 'tutup']",perintah harus saing dengan tiktok bukan malah larang di tutup,-13,negatif
1219,masa judi online tidak di tutup sedangkan jalur usaha orang di tutup parah,masa judi online tidak di tutup sedangkan jalur usaha orang di tutup parah,"['masa', 'judi', 'online', 'tidak', 'di', 'tutup', 'sedangkan', 'jalur', 'usaha', 'orang', 'di', 'tutup', 'parah']",masa judi online tidak di tutup sedang jalur usaha orang di tutup parah,-17,negatif
1220,setuju tutup saja,setuju tutup saja,"['setuju', 'tutup', 'saja']",tuju tutup saja,-2,negatif
1221,iya sekarang tanah abang ramai lagi alhamdulilah macet lagi jalannya sampai susah bergeraknya,iya sekarang tanah abang ramai lagi alhamdulilah macet lagi jalannya sampai susah bergeraknya,"['iya', 'sekarang', 'tanah', 'abang', 'ramai', 'lagi', 'alhamdulilah', 'macet', 'lagi', 'jalannya', 'sampai', 'susah', 'bergeraknya']",iya sekarang tanah abang ramai lagi alhamdulilah macet lagi jalan sampai susah gerak,-1,negatif
1222,simple kok blokir aja aplikasi tiktoknya tiktok itu juga merusak moral,simple kok blokir saja aplikasi tiktoknya tiktok itu juga merusak moral,"['simple', 'kok', 'blokir', 'saja', 'aplikasi', 'tiktoknya', 'tiktok', 'itu', 'juga', 'merusak', 'moral']",simple kok blokir saja aplikasi tiktoknya tiktok itu juga rusak moral,-2,negatif
1223,jos banget lor kalaupun aku di posisi influence tetap aku dukung,jos banget lor kalaupun aku di posisi influence tetap aku dukung,"['jos', 'banget', 'lor', 'kalaupun', 'aku', 'di', 'posisi', 'influence', 'tetap', 'aku', 'dukung']",jos banget lor kalaupun aku di posisi influence tetap aku dukung,12,positif
1224,kenapa harus bingung coba mau jualan dimana sebanyak ituu ecomerce ada shopee lazada dll hayo dong pikirin solusi dalam suatu tindakan masa gitu aja bingung udah disediakan banyak platform jualan sama pemerintah tinggal pilih lho,kenapa harus bingung coba mau jualan dimana sebanyak itu ecomerce ada shopee lazada dll hayo dong pikirin solusi dalam suatu tindakan masa begitu saja bingung sudah disediakan banyak platform jualan sama pemerintah tinggal pilih lho,"['kenapa', 'harus', 'bingung', 'coba', 'mau', 'jualan', 'dimana', 'sebanyak', 'itu', 'ecomerce', 'ada', 'shopee', 'lazada', 'dll', 'hayo', 'dong', 'pikirin', 'solusi', 'dalam', 'suatu', 'tindakan', 'masa', 'begitu', 'saja', 'bingung', 'sudah', 'disediakan', 'banyak', 'platform', 'jualan', 'sama', 'pemerintah', 'tinggal', 'pilih', 'lho']",kenapa harus bingung coba mau jual mana banyak itu ecomerce ada shopee lazada dll hayo dong pikirin solusi dalam suatu tindak masa begitu saja bingung sudah sedia banyak platform jual sama perintah tinggal pilih lho,26,positif
1225,misalnya tiktok dilarang pemerintah pedagang tiktok lari ke toko onlineshop seperti toko oren dan toko ijo mereka banting harga juga gimana,misalnya tiktok dilarang pemerintah pedagang tiktok lari ke toko onlineshop seperti toko oren dan toko ijo mereka banting harga juga bagaimana,"['misalnya', 'tiktok', 'dilarang', 'pemerintah', 'pedagang', 'tiktok', 'lari', 'ke', 'toko', 'onlineshop', 'seperti', 'toko', 'oren', 'dan', 'toko', 'ijo', 'mereka', 'banting', 'harga', 'juga', 'bagaimana']",misal tiktok larang perintah dagang tiktok lari ke toko onlineshop seperti toko oren dan toko ijo mereka banting harga juga bagaimana,-2,negatif
1226,pemerintah terlalu kuno berpikir susah untuk maju,pemerintah terlalu kuno berpikir susah untuk maju,"['pemerintah', 'terlalu', 'kuno', 'berpikir', 'susah', 'untuk', 'maju']",perintah terlalu kuno pikir susah untuk maju,-10,negatif
1227,shoope lazada gimana jangan linglung,shoope lazada bagaimana jangan linglung,"['shoope', 'lazada', 'bagaimana', 'jangan', 'linglung']",shoope lazada bagaimana jangan linglung,-3,negatif
1228,banyak komen bilang menolong umkm kalo tidak bisa beradaptasi dengan perubahan ya digusur lah malah menyalahkan sistem baru yang maju kenapa tidak memanfaatkan saja dan ikut beradaptasi agar para umkm yang katanya dirugikan dapat untung juga,banyak komen bilang menolong umkm kalo tidak bisa beradaptasi dengan perubahan ya digusur lah malah menyalahkan sistem baru yang maju kenapa tidak memanfaatkan saja dan ikut beradaptasi agar para umkm yang katanya dirugikan dapat untung juga,"['banyak', 'komen', 'bilang', 'menolong', 'umkm', 'kalo', 'tidak', 'bisa', 'beradaptasi', 'dengan', 'perubahan', 'ya', 'digusur', 'lah', 'malah', 'menyalahkan', 'sistem', 'baru', 'yang', 'maju', 'kenapa', 'tidak', 'memanfaatkan', 'saja', 'dan', 'ikut', 'beradaptasi', 'agar', 'para', 'umkm', 'yang', 'katanya', 'dirugikan', 'dapat', 'untung', 'juga']",banyak komen bilang tolong umkm kalo tidak bisa adaptasi dengan ubah ya gusur lah malah salah sistem baru yang maju kenapa tidak manfaat saja dan ikut adaptasi agar para umkm yang kata rugi dapat untung juga,-22,negatif
1229,setuju saya di tutup mending umkm aja,setuju saya di tutup mending umkm saja,"['setuju', 'saya', 'di', 'tutup', 'mending', 'umkm', 'saja']",tuju saya di tutup mending umkm saja,-3,negatif
1230,edukasi ke masyarakat juga di perhatikan contoh sesuai kan juga harga pasaran darat jangan jauh lebih mahal dari online gitu buat lah nilai edukasi yang tinggi untuk masyarakat perlu di seimbangkan,edukasi ke masyarakat juga di perhatikan contoh sesuai kan juga harga pasaran darat jangan jauh lebih mahal dari online begitu buat lah nilai edukasi yang tinggi untuk masyarakat perlu di seimbangkan,"['edukasi', 'ke', 'masyarakat', 'juga', 'di', 'perhatikan', 'contoh', 'sesuai', 'kan', 'juga', 'harga', 'pasaran', 'darat', 'jangan', 'jauh', 'lebih', 'mahal', 'dari', 'online', 'begitu', 'buat', 'lah', 'nilai', 'edukasi', 'yang', 'tinggi', 'untuk', 'masyarakat', 'perlu', 'di', 'seimbangkan']",edukasi ke masyarakat juga di perhati contoh sesuai kan juga harga pasar darat jangan jauh lebih mahal dari online begitu buat lah nilai edukasi yang tinggi untuk masyarakat perlu di imbang,7,positif
1231,umkm perlu di jaga keseimbangan nya karna hal semacam adanya kebebasan penjualan liar online tiktok ini yang mengurangi banyak nilai penghasilan pedagang usaha,umkm perlu di jaga keseimbangan nya karena hal semacam adanya kebebasan penjualan liar online tiktok ini yang mengurangi banyak nilai penghasilan pedagang usaha,"['umkm', 'perlu', 'di', 'jaga', 'keseimbangan', 'nya', 'karena', 'hal', 'semacam', 'adanya', 'kebebasan', 'penjualan', 'liar', 'online', 'tiktok', 'ini', 'yang', 'mengurangi', 'banyak', 'nilai', 'penghasilan', 'pedagang', 'usaha']",umkm perlu di jaga imbang nya karena hal macam ada bebas jual liar online tiktok ini yang kurang banyak nilai hasil dagang usaha,8,positif
1232,tiktok bikin hancur pedagang umkm hapus aja,tiktok bikin hancur pedagang umkm hapus saja,"['tiktok', 'bikin', 'hancur', 'pedagang', 'umkm', 'hapus', 'saja']",tiktok bikin hancur dagang umkm hapus saja,-6,negatif
1233,ini cocok sebenarnya perdagangan online di hapus karena emang merusak nilai aturan perdagangan kasihan dengan pedagang lainya kita perlu keseimbangan jangan berat sebelah jadi tiktok perdagangan online secepatnya di tindak lanjuti,ini cocok sebenarnya perdagangan online di hapus karena memang merusak nilai aturan perdagangan kasihan dengan pedagang lainya kita perlu keseimbangan jangan berat sebelah jadi tiktok perdagangan online secepatnya di tindak lanjuti,"['ini', 'cocok', 'sebenarnya', 'perdagangan', 'online', 'di', 'hapus', 'karena', 'memang', 'merusak', 'nilai', 'aturan', 'perdagangan', 'kasihan', 'dengan', 'pedagang', 'lainya', 'kita', 'perlu', 'keseimbangan', 'jangan', 'berat', 'sebelah', 'jadi', 'tiktok', 'perdagangan', 'online', 'secepatnya', 'di', 'tindak', 'lanjuti']",ini cocok benar dagang online di hapus karena memang rusak nilai atur dagang kasihan dengan dagang lai kita perlu imbang jangan berat belah jadi tiktok dagang online cepat di tindak lanjut,22,positif
1234,sekalian pak shopee juga di lihat masa harga celana panjang cuma,sekalian pak shopee juga di lihat masa harga celana panjang cuma,"['sekalian', 'pak', 'shopee', 'juga', 'di', 'lihat', 'masa', 'harga', 'celana', 'panjang', 'cuma']",sekali pak shopee juga di lihat masa harga celana panjang cuma,4,positif
1235,sangat setuju jualan online justru akan mematikan penjual dipasar dan di toko dan di plasma swalayan kalau tidak di tindak tegas akan berdampak gedung swalayan pasar toko hanya akan mati dan jadi bangu tua jadi mangkrak,sangat setuju jualan online justru akan mematikan penjual dipasar dan di toko dan di plasma swalayan kalau tidak di tindak tegas akan berdampak gedung swalayan pasar toko hanya akan mati dan jadi bangu tua jadi mangkrak,"['sangat', 'setuju', 'jualan', 'online', 'justru', 'akan', 'mematikan', 'penjual', 'dipasar', 'dan', 'di', 'toko', 'dan', 'di', 'plasma', 'swalayan', 'kalau', 'tidak', 'di', 'tindak', 'tegas', 'akan', 'berdampak', 'gedung', 'swalayan', 'pasar', 'toko', 'hanya', 'akan', 'mati', 'dan', 'jadi', 'bangu', 'tua', 'jadi', 'mangkrak']",sangat tuju jual online justru akan mati jual pasar dan di toko dan di plasma swalayan kalau tidak di tindak tegas akan dampak gedung swalayan pasar toko hanya akan mati dan jadi bangu tua jadi mangkrak,2,positif
1236,kasih paham pak keras kepala semua padahal demi kebaikannya,kasih paham pak keras kepala semua padahal demi kebaikannya,"['kasih', 'paham', 'pak', 'keras', 'kepala', 'semua', 'padahal', 'demi', 'kebaikannya']",kasih paham pak keras kepala semua padahal demi baik,2,positif
1237,urusan mu matikan sandang pangan tiktok fb shopee tokped lazada tidak ada pajaknya woi yang kaya semakin kaya yang miskin semakin miskin,urusan mu matikan sandang pangan tiktok fb shopee tokped lazada tidak ada pajaknya woi yang kayak semakin kayak yang miskin semakin miskin,"['urusan', 'mu', 'matikan', 'sandang', 'pangan', 'tiktok', 'fb', 'shopee', 'tokped', 'lazada', 'tidak', 'ada', 'pajaknya', 'woi', 'yang', 'kayak', 'semakin', 'kayak', 'yang', 'miskin', 'semakin', 'miskin']",urus mu mati sandang pangan tiktok fb shopee tokped lazada tidak ada pajak woi yang kayak makin kayak yang miskin makin miskin,-22,negatif
1238,ojol pembunuh opang hapuskan ojol biar adil,ojol pembunuh opang hapuskan ojol biar adil,"['ojol', 'pembunuh', 'opang', 'hapuskan', 'ojol', 'biar', 'adil']",ojol bunuh opang hapus ojol biar adil,-3,negatif
1239,alhamdulillah dah dijalur yang benar pemerintah,alhamdulillah deh dijalur yang benar pemerintah,"['alhamdulillah', 'deh', 'dijalur', 'yang', 'benar', 'pemerintah']",alhamdulillah deh jalur yang benar perintah,-2,negatif
1240,yang perlu ditutup adalah game,yang perlu ditutup adalah game,"['yang', 'perlu', 'ditutup', 'adalah', 'game']",yang perlu tutup adalah game,-3,negatif
1241,yang di larang itu artis yang berjualan,yang di larang itu artis yang berjualan,"['yang', 'di', 'larang', 'itu', 'artis', 'yang', 'berjualan']",yang di larang itu artis yang jual,-12,negatif
1242,terlalu banyak ambil untung makanya ndak laku kalah saing,terlalu banyak ambil untung makanya indak laku kalah saing,"['terlalu', 'banyak', 'ambil', 'untung', 'makanya', 'indak', 'laku', 'kalah', 'saing']",terlalu banyak ambil untung makanya indak laku kalah saing,-6,negatif
1243,sekedar ingin sharing mengenai permasalahan tiktok shop ini jadi ada beberapa masalah terkait permasalahan pertama tiktokshop ialah karena tiktok pada awalnya didaftarkan sebagai media sosial bukan sebagai e commerce jadi dari sini saja sudah terlihat jelas bagaimana tiktok menyalahi aturan masalah kedua ialah ditemukannya beberapa produk produsen distributor yang dijual jauh dibawah harga standar umum pasarannya ditambah juga beberapa artis yang juga ikut terjun dalam hal ini sebagai affiliator dan malah ikut berjualan dengan harga dibawah pasaran sungguh ironi sekali para umkm pun mereka berjualan dengan barang yang didapat dari distributor produsen juga bayangkan saja oleh kalian sendiri kedepannya akan bagaimana ditemukannya beberapa produk impor khususnya produk china yang harga jauh dibawah harga produk lokal jelas ini merugikan para pelaku usaha produk dalam negeri jadi bagi kalian yang seg dengan belanja online silahkan tidak ada yang salah dengan itu ini bukan sekedar masalah belanja online atau offline tetapi masalah ekonomi negara dan masyarakat kita kedepannya dan untuk para seller tiktokshop masih ada e commerce lain yang bisa dijadikan tempat berdagang ingat pelaku umkm berusaha hanya untuk menghidupi keluarganya agar berkecukupan sedangkan para produsen distributor besar dan artis itu hanya untuk menambah kekayaan dan memenuhi gengsi saja salam akal sehat,sekedar ingin sharing mengenai permasalahan tiktok shop ini jadi ada beberapa masalah terkait permasalahan pertama tiktokshop ialah karena tiktok pada awalnya didaftarkan sebagai media sosial bukan sebagai e commerce jadi dari sini saja sudah terlihat jelas bagaimana tiktok menyalahi aturan masalah kedua ialah ditemukannya beberapa produk produsen distributor yang dijual jauh dibawah harga standar umum pasarannya ditambah juga beberapa artis yang juga ikut terjun dalam hal ini sebagai affiliator dan malah ikut berjualan dengan harga dibawah pasaran sungguh ironi sekali para umkm pun mereka berjualan dengan barang yang didapat dari distributor produsen juga bayangkan saja oleh kalian sendiri kedepannya akan bagaimana ditemukannya beberapa produk impor khususnya produk china yang harga jauh dibawah harga produk lokal jelas ini merugikan para pelaku usaha produk dalam negeri jadi bagi kalian yang seg dengan belanja online silakan tidak ada yang salah dengan itu ini bukan sekedar masalah belanja online atau offline tetapi masalah ekonomi negara dan masyarakat kita kedepannya dan untuk para seller tiktokshop masih ada e commerce lain yang bisa dijadikan tempat berdagang ingat pelaku umkm berusaha hanya untuk menghidupi keluarganya agar berkecukupan sedangkan para produsen distributor besar dan artis itu hanya untuk menambah kekayaan dan memenuhi gengsi saja salam akal sehat,"['sekedar', 'ingin', 'sharing', 'mengenai', 'permasalahan', 'tiktok', 'shop', 'ini', 'jadi', 'ada', 'beberapa', 'masalah', 'terkait', 'permasalahan', 'pertama', 'tiktokshop', 'ialah', 'karena', 'tiktok', 'pada', 'awalnya', 'didaftarkan', 'sebagai', 'media', 'sosial', 'bukan', 'sebagai', 'e', 'commerce', 'jadi', 'dari', 'sini', 'saja', 'sudah', 'terlihat', 'jelas', 'bagaimana', 'tiktok', 'menyalahi', 'aturan', 'masalah', 'kedua', 'ialah', 'ditemukannya', 'beberapa', 'produk', 'produsen', 'distributor', 'yang', 'dijual', 'jauh', 'dibawah', 'harga', 'standar', 'umum', 'pasarannya', 'ditambah', 'juga', 'beberapa', 'artis', 'yang', 'juga', 'ikut', 'terjun', 'dalam', 'hal', 'ini', 'sebagai', 'affiliator', 'dan', 'malah', 'ikut', 'berjualan', 'dengan', 'harga', 'dibawah', 'pasaran', 'sungguh', 'ironi', 'sekali', 'para', 'umkm', 'pun', 'mereka', 'berjualan', 'dengan', 'barang', 'yang', 'didapat', 'dari', 'distributor', 'produsen', 'juga', 'bayangkan', 'saja', 'oleh', 'kalian', 'sendiri', 'kedepannya', 'akan', 'bagaimana', 'ditemukannya', 'beberapa', 'produk', 'impor', 'khususnya', 'produk', 'china', 'yang', 'harga', 'jauh', 'dibawah', 'harga', 'produk', 'lokal', 'jelas', 'ini', 'merugikan', 'para', 'pelaku', 'usaha', 'produk', 'dalam', 'negeri', 'jadi', 'bagi', 'kalian', 'yang', 'seg', 'dengan', 'belanja', 'online', 'silakan', 'tidak', 'ada', 'yang', 'salah', 'dengan', 'itu', 'ini', 'bukan', 'sekedar', 'masalah', 'belanja', 'online', 'atau', 'offline', 'tetapi', 'masalah', 'ekonomi', 'negara', 'dan', 'masyarakat', 'kita', 'kedepannya', 'dan', 'untuk', 'para', 'seller', 'tiktokshop', 'masih', 'ada', 'e', 'commerce', 'lain', 'yang', 'bisa', 'dijadikan', 'tempat', 'berdagang', 'ingat', 'pelaku', 'umkm', 'berusaha', 'hanya', 'untuk', 'menghidupi', 'keluarganya', 'agar', 'berkecukupan', 'sedangkan', 'para', 'produsen', 'distributor', 'besar', 'dan', 'artis', 'itu', 'hanya', 'untuk', 'menambah', 'kekayaan', 'dan', 'memenuhi', 'gengsi', 'saja', 'salam', 'akal', 'sehat']",dar ingin sharing kena masalah tiktok shop ini jadi ada beberapa masalah kait masalah pertama tiktokshop ialah karena tiktok pada awal daftar bagai media sosial bukan bagai e commerce jadi dari sini saja sudah lihat jelas bagaimana tiktok salah atur masalah dua ialah temu beberapa produk produsen distributor yang jual jauh bawah harga standar umum pasar tambah juga beberapa artis yang juga ikut terjun dalam hal ini bagai affiliator dan malah ikut jual dengan harga bawah pasar sungguh ironi sekali para umkm pun mereka jual dengan barang yang dapat dari distributor produsen juga bayang saja oleh kalian sendiri depan akan bagaimana temu beberapa produk impor khusus produk china yang harga jauh bawah harga produk lokal jelas ini rugi para laku usaha produk dalam negeri jadi bagi kalian yang seg dengan belanja online sila tidak ada yang salah dengan itu ini bukan dar masalah belanja online atau offline tetapi masalah ekonomi negara dan masyarakat kita depan dan untuk para seller tiktokshop masih ada e commerce lain yang bisa jadi tempat dagang ingat laku umkm usaha hanya untuk hidup keluarga agar cukup sedang para produsen distributor besar dan artis itu hanya untuk tambah kaya dan penuh gengsi saja salam akal sehat,-16,negatif
